full_name,stars,html_url,created_at,updated_at,size,language,age_years,num_releases
Doikki/DKVideoPlayer,5225,https://github.com/Doikki/DKVideoPlayer,2017-04-11T01:33:38Z,2025-09-04T07:57:23Z,90266,Java,8.41,30
lucasr/twoway-view,5225,https://github.com/lucasr/twoway-view,2013-01-18T20:55:23Z,2025-09-06T21:02:10Z,2554,Java,12.63,0
cinit/QAuxiliary,5224,https://github.com/cinit/QAuxiliary,2022-01-29T06:12:36Z,2025-09-06T13:27:20Z,8465,Java,3.6,30
rubenlagus/TelegramBots,5221,https://github.com/rubenlagus/TelegramBots,2016-01-14T00:13:07Z,2025-09-06T08:21:06Z,3913,Java,9.65,30
huangyanbin/smartTable,5220,https://github.com/huangyanbin/smartTable,2017-11-08T01:11:14Z,2025-09-01T09:44:05Z,63951,Java,7.83,30
Karumi/Dexter,5215,https://github.com/Karumi/Dexter,2015-11-17T13:14:43Z,2025-08-30T23:26:47Z,2928,Java,9.8,30
liquibase/liquibase,5209,https://github.com/liquibase/liquibase,2011-07-08T20:08:20Z,2025-09-05T18:25:43Z,221092,Java,14.17,30
Clans/FloatingActionButton,5208,https://github.com/Clans/FloatingActionButton,2015-03-21T12:36:16Z,2025-09-06T21:02:18Z,3389,Java,10.46,14
GeyserMC/Geyser,5208,https://github.com/GeyserMC/Geyser,2019-07-08T17:23:17Z,2025-09-06T21:46:33Z,33510,Java,6.17,0
pmd/pmd,5203,https://github.com/pmd/pmd,2012-07-11T18:03:00Z,2025-09-06T21:16:24Z,535445,Java,13.16,30
citerus/dddsample-core,5193,https://github.com/citerus/dddsample-core,2015-01-31T23:21:37Z,2025-09-05T08:15:39Z,8533,Java,10.6,0
dunwu/db-tutorial,5192,https://github.com/dunwu/db-tutorial,2017-08-08T06:33:38Z,2025-09-06T06:21:28Z,13001,Java,8.08,0
remkop/picocli,5187,https://github.com/remkop/picocli,2017-02-01T16:38:41Z,2025-09-05T12:58:16Z,84879,Java,8.59,30
hustcc/JS-Sorting-Algorithm,5185,https://github.com/hustcc/JS-Sorting-Algorithm,2017-01-19T11:36:21Z,2025-09-05T06:12:33Z,3636,Java,8.63,0
